Country/Region	Confirmed	Deaths	Recovered	Active	New cases	New deaths	New recovered	Deaths / 100 Cases	Recovered / 100 Cases	Deaths / 100 Recovered	Confirmed last week	1 week change	1 week % increase	WHO Region
Albania	4880	144	2745	1991	117	6	63	2.95	56.25	5.25	4171	709	17	Europe
Andorra	907	52	803	52	10	0	0	5.73	88.53	6.48	884	23	2.6	Europe
Armenia	37390	711	26665	10014	73	6	187	1.9	71.32	2.67	34981	2409	6.89	Europe
Austria	20558	713	18246	1599	86	1	37	3.47	88.75	3.91	19743	815	4.13	Europe
Azerbaijan	30446	423	23242	6781	396	6	558	1.39	76.34	1.82	27890	2556	9.16	Europe
Belarus	67251	538	60492	6221	119	4	67	0.8	89.95	0.89	66213	1038	1.57	Europe
Belgium	66428	9822	17452	39154	402	1	14	14.79	26.27	56.28	64094	2334	3.64	Europe
Bosnia and Herzegovina	10498	294	4930	5274	731	14	375	2.8	46.96	5.96	8479	2019	23.81	Europe
Bulgaria	10621	347	5585	4689	194	7	230	3.27	52.58	6.21	8929	1692	18.95	Europe
Croatia	4881	139	3936	806	24	3	70	2.85	80.64	3.53	4370	511	11.69	Europe
Cyprus	1060	19	852	189	3	0	0	1.79	80.38	2.23	1038	22	2.12	Europe
Czechia	15516	373	11428	3715	192	2	0	2.4	73.65	3.26	14098	1418	10.06	Europe
Denmark	13761	613	12605	543	109	0	77	4.45	91.6	4.86	13453	308	2.29	Europe
Estonia	2034	69	1923	42	0	0	1	3.39	94.54	3.59	2021	13	0.64	Europe
Finland	7398	329	6920	149	5	0	0	4.45	93.54	4.75	7340	58	0.79	Europe
France	220352	30212	81212	108928	2551	17	267	13.71	36.86	37.2	214023	6329	2.96	Europe
Georgia	1137	16	922	199	6	0	2	1.41	81.09	1.74	1039	98	9.43	Europe
Germany	207112	9125	190314	7673	445	1	259	4.41	91.89	4.79	203325	3787	1.86	Europe
Greece	4227	202	1374	2651	34	0	0	4.78	32.51	14.7	4012	215	5.36	Europe
Greenland	14	0	13	1	1	0	0	0	92.86	0	13	1	7.69	Europe
Holy See	12	0	12	0	0	0	0	0	100	0	12	0	0	Europe
Hungary	4448	596	3329	523	13	0	0	13.4	74.84	17.9	4339	109	2.51	Europe
Iceland	1854	10	1823	21	7	0	0	0.54	98.33	0.55	1839	15	0.82	Europe
Ireland	25892	1764	23364	764	11	0	0	6.81	90.24	7.55	25766	126	0.49	Europe
Israel	63985	474	27133	36378	2029	4	108	0.74	42.41	1.75	52003	11982	23.04	Europe
Italy	246286	35112	198593	12581	168	5	147	14.26	80.64	17.68	244624	1662	0.68	Europe
Kazakhstan	84648	585	54404	29659	1526	0	1833	0.69	64.27	1.08	73468	11180	15.22	Europe
Kosovo	7413	185	4027	3201	496	16	274	2.5	54.32	4.59	5877	1536	26.14	Europe
Kyrgyzstan	33296	1301	21205	10790	483	24	817	3.91	63.69	6.14	27143	6153	22.67	Europe
Latvia	1219	31	1045	143	0	0	0	2.54	85.73	2.97	1192	27	2.27	Europe
Liechtenstein	86	1	81	4	0	0	0	1.16	94.19	1.23	86	0	0	Europe
Lithuania	2019	80	1620	319	11	0	4	3.96	80.24	4.94	1947	72	3.7	Europe
Luxembourg	6321	112	4825	1384	49	0	178	1.77	76.33	2.32	5639	682	12.09	Europe
Malta	701	9	665	27	1	0	0	1.28	94.86	1.35	677	24	3.55	Europe
Moldova	23154	748	16154	6252	120	13	245	3.23	69.77	4.63	21115	2039	9.66	Europe
Monaco	116	4	104	8	0	0	0	3.45	89.66	3.85	109	7	6.42	Europe
Montenegro	2893	45	809	2039	94	2	70	1.56	27.96	5.56	2188	705	32.22	Europe
Netherlands	53413	6160	189	47064	419	1	0	11.53	0.35	3259.26	52132	1281	2.46	Europe
North Macedonia	10213	466	5564	4183	127	6	137	4.56	54.48	8.38	9249	964	10.42	Europe
Norway	9132	255	8752	125	15	0	0	2.79	95.84	2.91	9034	98	1.08	Europe
Poland	43402	1676	32856	8870	337	5	103	3.86	75.7	5.1	40383	3019	7.48	Europe
Portugal	50299	1719	35375	13205	135	2	158	3.42	70.33	4.86	48771	1528	3.13	Europe
Romania	45902	2206	25794	17902	1104	19	151	4.81	56.19	8.55	38139	7763	20.35	Europe
Russia	816680	13334	602249	201097	5607	85	3077	1.63	73.74	2.21	776212	40468	5.21	Europe
San Marino	699	42	657	0	0	0	0	6.01	93.99	6.39	699	0	0	Europe
Serbia	24141	543	0	23598	411	9	0	2.25	0	inf	21253	2888	13.59	Europe
Slovakia	2181	28	1616	537	2	0	39	1.28	74.09	1.73	1980	201	10.15	Europe
Slovenia	2087	116	1733	238	5	0	55	5.56	83.04	6.69	1953	134	6.86	Europe
Spain	272421	28432	150376	93613	0	0	0	10.44	55.2	18.91	264836	7585	2.86	Europe
Sweden	79395	5700	0	73695	398	3	0	7.18	0	inf	78048	1347	1.73	Europe
Switzerland	34477	1978	30900	1599	65	1	200	5.74	89.62	6.4	33634	843	2.51	Europe
Tajikistan	7235	60	6028	1147	43	1	58	0.83	83.32	1	6921	314	4.54	Europe
Turkey	227019	5630	210469	10920	919	17	982	2.48	92.71	2.67	220572	6447	2.92	Europe
Ukraine	67096	1636	37202	28258	835	11	317	2.44	55.45	4.4	60767	6329	10.42	Europe
United Kingdom	301708	45844	1437	254427	688	7	3	15.19	0.48	3190.26	296944	4764	1.6	Europe
Uzbekistan	21209	121	11674	9414	678	5	569	0.57	55.04	1.04	17149	4060	23.67	Europe
